
> school-attendance-web@0.1.0 dev
> next dev --port 3000

▲ Next.js 16.2.12 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.1.135:3000
✓ Ready in 567ms

 GET /login 200 in 243ms (next.js: 54ms, proxy.ts: 123ms, application-code: 66ms)
 GET /attendance 200 in 84ms (next.js: 8ms, proxy.ts: 6ms, application-code: 70ms)
 GET /login 200 in 81ms (next.js: 27ms, proxy.ts: 5ms, application-code: 49ms)
 GET /attendance 200 in 54ms (next.js: 4ms, proxy.ts: 22ms, application-code: 28ms)
 GET /login 200 in 37ms (next.js: 18ms, proxy.ts: 6ms, application-code: 14ms)
 GET /attendance 200 in 94ms (next.js: 5ms, proxy.ts: 4ms, application-code: 86ms)
 GET /student-accounts 200 in 67ms (next.js: 44ms, proxy.ts: 4ms, application-code: 18ms)
 GET /students 200 in 67ms (next.js: 47ms, proxy.ts: 3ms, application-code: 17ms)
 GET /dashboard 200 in 67ms (next.js: 46ms, proxy.ts: 3ms, application-code: 17ms)
 GET /students 200 in 20ms (next.js: 5ms, proxy.ts: 3ms, application-code: 12ms)
 GET /dashboard 200 in 37ms (next.js: 5ms, proxy.ts: 4ms, application-code: 28ms)
 GET /dashboard 200 in 95ms (next.js: 5ms, proxy.ts: 4ms, application-code: 85ms)
 GET /students 200 in 25ms (next.js: 6ms, proxy.ts: 4ms, application-code: 14ms)
 GET /student-accounts 200 in 21ms (next.js: 5ms, proxy.ts: 4ms, application-code: 13ms)
 GET /login 200 in 18ms (next.js: 4ms, proxy.ts: 3ms, application-code: 11ms)
 GET /login 200 in 25ms (next.js: 6ms, proxy.ts: 3ms, application-code: 16ms)
 GET /login 200 in 56ms (next.js: 4ms, proxy.ts: 3ms, application-code: 49ms)
✓ Compiled in 120ms
 GET /login 200 in 128ms (next.js: 45ms, proxy.ts: 37ms, application-code: 45ms)
 GET /login 200 in 129ms (next.js: 75ms, proxy.ts: 37ms, application-code: 17ms)
✓ Compiled in 91ms
 GET /login 200 in 131ms (next.js: 45ms, proxy.ts: 34ms, application-code: 51ms)
 GET /login 200 in 133ms (next.js: 72ms, proxy.ts: 35ms, application-code: 27ms)
 GET /login 200 in 82ms (next.js: 3ms, proxy.ts: 3ms, application-code: 76ms)
 GET /login 200 in 42ms (next.js: 4ms, proxy.ts: 3ms, application-code: 36ms)
 GET /login 200 in 32ms (next.js: 6ms, proxy.ts: 4ms, application-code: 22ms)
 GET /login 200 in 32ms (next.js: 5ms, proxy.ts: 4ms, application-code: 23ms)
✓ Compiled in 204ms
 GET /login 200 in 287ms (next.js: 135ms, proxy.ts: 64ms, application-code: 88ms)
 GET /login 200 in 297ms (next.js: 78ms, proxy.ts: 148ms, application-code: 71ms)
 GET /login 200 in 267ms (next.js: 8ms, proxy.ts: 7ms, application-code: 252ms)
 GET /login 200 in 281ms (next.js: 20ms, proxy.ts: 6ms, application-code: 254ms)
 GET /login 200 in 253ms (next.js: 21ms, proxy.ts: 26ms, application-code: 206ms)
 GET /login 200 in 253ms (next.js: 70ms, proxy.ts: 29ms, application-code: 153ms)
